symbol,1,2,3,4,5,6,12,13,14,15,16,23,24,25,26,34,35,36,45,46,56,123,124,125,126,134,135,136,145,146,156
0,0.431199,0.744551,0.955773,0.991384,0.978018,0.819517,1.123402,1.402263,1.426030,1.415833,1.153440,1.334570,1.725934,1.731896,1.619949,1.520799,1.871228,1.793938,1.521110,1.789829,1.359911,1.851740,2.109106,2.105814,2.147186,2.159055,2.301354,2.175009,2.170883,2.144729,2.595343
1,0.876390,0.996798,0.993926,0.723777,0.957116,0.989683,1.582619,1.803339,1.653106,1.830152,1.743347,1.529785,1.679793,1.955309,1.969190,1.398270,1.953640,1.981327,1.528815,1.709031,1.453906,2.305567,2.286101,2.276185,2.254701,2.366279,2.633214,2.603531,2.361908,2.526233,2.773460
2,0.999643,0.999108,0.536559,0.598504,0.566160,0.999682,1.260638,1.432581,1.598294,1.565913,1.186342,1.259635,1.597964,1.565634,1.366497,1.125507,1.275650,1.444561,1.205186,1.598313,1.502635,2.303511,2.032160,1.872141,2.054418,2.276615,2.117163,1.881434,2.352551,1.898751,1.970467
3,0.993501,0.858379,0.998783,0.999819,0.930024,0.995541,1.204578,1.992782,1.993399,1.924036,1.336733,1.847720,1.857499,1.818754,1.450240,1.403689,1.496455,1.994833,1.416701,1.995438,1.893162,2.215962,2.216596,2.171016,1.779698,2.528114,2.443799,2.336062,2.344502,2.336358,2.173635
4,0.991997,0.897173,0.865806,0.195692,0.998710,0.999986,1.685224,1.748592,1.190466,1.432123,1.415367,1.443099,1.085057,1.896441,1.896936,1.037528,1.865070,1.865627,1.186255,1.195634,1.183353,2.704014,1.987011,2.170440,2.435712,2.015242,2.222843,2.555961,1.792599,2.105269,2.486092
5,0.849538,0.898011,0.955773,0.985979,0.980531,0.910256,1.786257,1.823362,1.841548,1.834429,1.426592,1.437516,1.884055,1.886975,1.834959,1.874496,1.922514,1.884700,1.530338,1.889577,1.827003,2.656130,2.775929,2.775067,2.661678,2.776807,2.792301,2.663306,2.802455,2.672830,2.306626
6,0.660139,0.367458,0.865806,0.885507,0.393586,0.683739,1.079739,1.581611,1.594104,1.171248,0.790487,1.127829,1.266909,0.922593,1.095308,1.443679,1.227040,1.605555,1.140859,1.617706,1.088946,1.935329,1.992922,1.501880,1.652055,2.703078,2.055204,1.861224,2.177021,1.884839,1.920560
7,0.776398,0.795769,0.347233,0.585082,0.947080,0.970353,1.215623,1.194335,1.456074,1.737827,1.660529,1.097661,1.466679,1.765556,1.753101,1.076115,1.314435,1.327080,1.228251,1.507937,1.501019,2.096960,2.016771,1.994636,2.636432,2.025564,2.137891,2.197118,2.339020,2.136108,2.699582
8,0.988415,0.999483,0.997253,0.987427,0.959427,0.996821,1.959979,1.986641,1.980910,1.952889,1.785149,1.928910,1.985980,1.959135,1.988829,1.816881,1.954242,1.995214,1.723279,1.985455,1.839272,2.433545,2.834623,2.844568,2.632814,2.808329,2.516457,2.755155,2.710011,2.758343,2.463529
